JURSALPHA,JURS
ALASKA,AK
ALBERTA,AB
BRITISH COLUMBIA,BC
CALIFORNIA,CA
CONNECTICUT,CT
DELAWARE,DE
IDAHO,ID
ILLINOIS,IL
INDIANA,IN
IOWA,IA
MAINE,ME
MANITOBA,MB
MARYLAND,MD
MASSACHUSETTS,MA
MICHIGAN,MI
MINNESOTA,MN
MISSOURI,MO
MONTANA,MT
NEBRASKA,NE
NEVADA,NV
NEW BRUNSWICK,NB
NEW HAMPSHIRE,NH
NEW JERSEY,NJ
NEW YORK,NY
NEWFOUNDLAND,NL
NORTH DAKOTA,ND
NORTHWEST TERRITORIES,NT
NOVA SCOTIA,NS
NUNAVUT,NU
OHIO,OH
ONTARIO,ON
OREGON,OR
PENNSYLVANIA,PA
PRINCE EDWARD ISLAND,PEI
QUEBEC,QC
RHODE ISLAND,RI
SASKATCHEWAN,SK
SOUTH DAKOTA,SD
UTAH,UT
VERMONT,VT
VIRGINIA,VA
WASHINGTON,WA
WEST VIRGINIA,WV
WISCONSIN,WI
WYOMING,WY
YUKON,YK
